time_real,4.06.1+multicore+bench,
major_words,4.06.1+multicore+bench,
almabench,975.,0.
bdd,583194.,0.
cpdf-merge,88005934.,nan
cpdf-reformat,72781274.,nan
cpdf-squeeze,135732461.,0.
cpdf-transform,27404613.,0.
jsontrip-sample,26923.,0.
kb,4836364.,0.
kb-no-exc,4618698.,0.
lexifi-g2pp,277213.,0.
menhir-fancy,272091.,0.
menhir-sql,50751588.,nan
menhir-standard,242323.,0.
minilight,10547447.,0.
numal-durand-kerner-aberth,229455.,0.
numal-fft,130782695.,0.
numal-k-means,526355.,0.
numal-levinson-durbin,250058475.,0.
numal-lu-decomposition,6984362.,0.
numal-naive-multilayer,1259751.,0.
numal-qr-decomposition,2646191.,0.
numal-rnd_access,200000215.,0.
numal-simple_access,192577233.,0.
sequence,37391.,0.
sequence-cps,201326.,0.
setrip,13191.,0.
setrip-smallbuf,13191.,0.

promoted_words,4.06.1+multicore+bench,
almabench,0.000598280793119,0.
bdd,0.0056885660427,0.
cpdf-merge,0.444838693196,nan
cpdf-reformat,0.140862328922,nan
cpdf-squeeze,0.305221256145,0.
cpdf-transform,0.46810883293,0.
jsontrip-sample,0.0019423583007,8.69287071629e-18
kb,0.0532957516916,0.
kb-no-exc,0.123666675065,1.44444595137e-17
lexifi-g2pp,0.000166486986257,0.
menhir-fancy,0.103572040602,6.11809491998e-16
menhir-sql,0.0427537483319,nan
menhir-standard,0.0410034638883,1.04231993086e-16
minilight,0.00109080678876,0.
numal-durand-kerner-aberth,0.0029715357662,1.75270036519e-18
numal-fft,0.489649692494,0.
numal-k-means,0.25134269461,1.12276831576e-16
numal-levinson-durbin,3.49105642057e-05,0.
numal-lu-decomposition,0.0674868940249,0.
numal-naive-multilayer,0.000580478945362,0.
numal-qr-decomposition,0.00158929380458,0.
numal-rnd_access,6.78302038021e-05,2.03051522114e-06
numal-simple_access,0.829809892073,0.
sequence,4.96509827857e-05,0.
sequence-cps,0.000134011696517,0.
setrip,2.92026907997e-05,0.
setrip-smallbuf,2.92026847231e-05,0.

top_heap_words,4.06.1+multicore+bench,
almabench,36864.,0.
bdd,523929.,0.
cpdf-merge,37717860.,nan
cpdf-reformat,26626331.,nan
cpdf-squeeze,37732858.,0.
cpdf-transform,14171928.,0.
jsontrip-sample,94607.,0.
kb,380928.,0.
kb-no-exc,434176.,0.
lexifi-g2pp,140259.,0.
menhir-fancy,357664.,0.
menhir-sql,36561784.,nan
menhir-standard,323978.,0.
minilight,856666.,0.
numal-durand-kerner-aberth,53248.,0.
numal-fft,73334802.,0.
numal-k-means,560227.,0.
numal-levinson-durbin,301886.,0.
numal-lu-decomposition,7035930.,0.
numal-naive-multilayer,69986.,0.
numal-qr-decomposition,375842.,0.
numal-rnd_access,200032771.,0.
numal-simple_access,192855299.,0.
sequence,32768.,0.
sequence-cps,32768.,0.
setrip,65539.,0.
setrip-smallbuf,65539.,0.

minor_collections,4.06.1+multicore+bench,
almabench,1.,0.
bdd,291.,0.
cpdf-merge,696.,nan
cpdf-reformat,1685.,nan
cpdf-squeeze,1513.,0.
cpdf-transform,212.,0.
jsontrip-sample,18.,0.
kb,342.,0.
kb-no-exc,142.,0.
lexifi-g2pp,6348.,0.
menhir-fancy,5.,0.
menhir-sql,3857.,nan
menhir-standard,4.,0.
minilight,36824.,0.
numal-durand-kerner-aberth,292.,0.
numal-fft,171.,0.
numal-k-means,2.,0.
numal-levinson-durbin,3817.,0.
numal-lu-decomposition,29.,0.
numal-naive-multilayer,8274.,0.
numal-qr-decomposition,6347.,0.
numal-rnd_access,1.,0.
numal-simple_access,791.,0.
sequence,2860.,0.
sequence-cps,5723.,0.
setrip,634.,0.
setrip-smallbuf,634.,0.

major_collections,4.06.1+multicore+bench,
almabench,1.,0.
bdd,7.,0.
cpdf-merge,42.,nan
cpdf-reformat,41.,nan
cpdf-squeeze,50.,0.
cpdf-transform,21.,0.
jsontrip-sample,2.,0.
kb,95.,0.
kb-no-exc,85.,0.
lexifi-g2pp,20.,0.
menhir-fancy,1.,0.
menhir-sql,21.,nan
menhir-standard,1.,0.
minilight,60.,0.
numal-durand-kerner-aberth,43.,0.
numal-fft,7.,0.
numal-k-means,2.,0.
numal-levinson-durbin,3815.,0.
numal-lu-decomposition,5.,0.
numal-naive-multilayer,234.,0.
numal-qr-decomposition,32.,0.
numal-rnd_access,1.,0.
numal-simple_access,7.,0.
sequence,245.,0.
sequence-cps,1248.,0.
setrip,21.,0.
setrip-smallbuf,21.,0.

heap_words,4.06.1+multicore+bench,
almabench,36864.,0.
bdd,507542.,0.
cpdf-merge,32442212.,nan
cpdf-reformat,26517234.,nan
cpdf-squeeze,27202597.,0.
cpdf-transform,6245942.,0.
jsontrip-sample,94607.,0.
kb,229376.,0.
kb-no-exc,245760.,0.
lexifi-g2pp,140259.,0.
menhir-fancy,357664.,0.
menhir-sql,34251643.,nan
menhir-standard,323978.,0.
minilight,856666.,0.
numal-durand-kerner-aberth,53248.,0.
numal-fft,73334802.,0.
numal-k-means,560227.,0.
numal-levinson-durbin,202736.,0.
numal-lu-decomposition,6986778.,0.
numal-naive-multilayer,69986.,0.
numal-qr-decomposition,289750.,0.
numal-rnd_access,200032771.,0.
numal-simple_access,192855299.,0.
sequence,32768.,0.
sequence-cps,32768.,0.
setrip,65539.,0.
setrip-smallbuf,65539.,0.

mean_space_overhead,4.06.1+multicore+bench,
almabench,3680.923077,0.
bdd,14.810424,7.29001465121e-15
cpdf-squeeze,7.294476,0.
cpdf-transform,16.236638,0.
jsontrip-sample,293.100004,0.
kb,21.893423,0.
kb-no-exc,30.359817,3.6977816355e-15
lexifi-g2pp,73.220145,0.
menhir-fancy,31.433716,2.2425598834e-13
menhir-standard,33.68021,2.84622829121e-13
minilight,7.83822,0.
numal-durand-kerner-aberth,326.991857,4.02027398967e-13
numal-fft,0.511501,0.
numal-k-means,8.3166,3.59285861043e-15
numal-levinson-durbin,17.62961,0.
numal-lu-decomposition,11.459169,0.
numal-naive-multilayer,170.921103,0.
numal-qr-decomposition,15.005132,0.
numal-rnd_access,0.016277,0.
numal-simple_access,0.140047,0.
sequence,5699.646018,0.
sequence-cps,6588.647904,0.
setrip,618.883615,0.
setrip-smallbuf,618.261131,0.

